,훈련소이름,주소,리뷰
0,한국심리교육협회,회사 사무실 · 가산디지털2로 108,리뷰 없음
1,드린겐애견테마파크,개 조련사 · 미산동 163-1 KR,4.4(20)
2,수원애견훈련소,애견 산책 도우미 · 봉담읍 222 분천리,4.3(28)
3,vipdog 반려견아카데미,애견 카페 · 용종동 오조산공원로 22 2층 202호,리뷰 없음
4,이삭애견훈련소,개 조련사 · 봉담읍 분천리 222,4.2(17)
5,반려동물훈련학교,학교 · 분당구 석운동 85-1번지 성남시 경기도 KR,리뷰 없음
6,반려견 교육 기관 위드,학교 · 고봉동 지영로 257-17,5.0(1)
7,하남애견훈련소,개 조련사 · 춘궁동 244,3.7(14)
8,덕소애견훈련소,애완동물 조련사 · 와부읍 월문리 151,4.8(5)
9,오렌지애견,상점 · 내유동 646-11,리뷰 없음
10,보듬컴퍼니,애완동물용품점 · 오남읍 진건오남로667번길 64-33 KR,4.4(130)
11,레알애견훈련소,개 조련사 · 원삼면 좌항리 409-4,4.3(3)
12,한국강아지학교애견훈련소,개 조련사 · 중화동 438,리뷰 없음
13,청담우리동물병원,동물병원 · 삼성동 70-6,4.4(118)
14,임애견훈련학교,개 조련사 · 벽제동 산2-27,리뷰 없음
15,와요 - 펫시터・훈련사・그루머 예약 서비스,애완동물 돌보미 · 논현동 20-2 세정빌딩 3층,5.0(4)
16,코리아애견훈련소,개 조련사 · 상계1동,리뷰 없음
17,키움반려견스쿨,애완동물 위탁관리 서비스 · 석운동 석운로 198 KR 53-1,5.0(2)
18,박준애견호텔강아지유치원강아지훈련소애견훈련소대형견호텔애견유치원강아지호텔,개 조련사 · 인계동 1135 KR,5.0(1)
19,애플펫동물병원,동물병원 · 오포읍 신현리 709-27,4.3(39)
20,댕블리 애견카페,애견 카페 · 고잔2길 45 KR 코스모프라자 401호,4.0(2)
21,위드독아카데미학원,개 조련사 · 정왕동 2327-2,리뷰 없음
22,펫을부탁해,애완동물 조련사 · 도봉로110나길 61 3층,리뷰 없음
23,에이스애견훈련소,· 향남읍 관리,5.0(1)
24,언더독,애완동물 조련사 · 논현동 번지 2층 594-20 대창프라자,4.0(1)
25,한국반려동물관리협회,협회 또는 조직 · 능동로 35,4.7(3)
26,노트펫,뉴스서비스 · 디지털로33길 28 우림이비지센터 1차 907호,리뷰 없음
27,서울연희실용전문학교,사립학교 · 성산동,리뷰 없음
28,애견훈련소,개 조련사 · 신북읍 산천리 12-29,4.3(3)
29,금강애견학교,애견교배업소 · 진접읍 내곡리 619-2,3.3(38)
30,애견훈련소,개 조련사 · 외삼동 559,5.0(2)
31,한국애견대학,교육 · 설악면 유명로 553,3.0(2)
32,세종애견훈련소,· 용산동 421-5번지 1층,5.0(1)
33,펫제이,애완동물 전문점 · 청담동 93-10번지,3.6(13)
34,패밀리(F)애견훈련소,애견 카페 · 원당동,4.0(2)
35,야호펫,홍보업체 · 신곡동 767-2 KR 번지 상록아이파크,리뷰 없음
36,K9애견훈련소,애견 산책 도우미 · 상동면 여차리 970,3.5(4)
37,캣독 잠실본점,애완동물 전문점 · 97-26,4.5(8)
38,대전월드애견학교,· 우성면 용봉리 304,2.0(2)
39,코리아경찰견훈련소,· 가산면 정금로 355-1,리뷰 없음
40,대구애견스쿨,개 조련사 · 지묘동,3.0(2)
41,초로동물병원,동물병원 · 수완동 725,4.7(41)
42,의성펫월드,테마파크 · 단북면 안계길 255-13 KR,4.7(20)
43,아산반려견교육센터,· 실옥동 151-8번지 KR,리뷰 없음
44,동물과사람,· 창우동 244-1번지 2층 하남시 경기도 KR,5.0(1)
45,잠실애견카페도그마루,상점 · 석촌호수로 104 2층,리뷰 없음
46,냥아지,인터넷 쇼핑몰 · 보정동 번지 3층 375-16 경기도 용인시 기흥구 KR,리뷰 없음
47,영남반려동물힐링센타,동물 병원 · 화양읍 송금리 83,5.0(2)
48,애견훈련소-보담,· 구서동 654-52,리뷰 없음
49,하얀민들레,애완견 공원 · 화양읍 남성현로 852 KR,4.7(97)
50,세이프독,애완동물용품점 · 하양읍 동서리 1082-1번지 KR 102동 동1층 107호 하양청구타운1차아파트,리뷰 없음
